tag_id,tag_print,tag,games_with_this_tag,votes_for_this_tag,tag_weight,price_median,undersore_median,owners_median,playtime_median
119,Team-Based,team_based,108,"49,429",458,$4.99 ,82.50%,"11,300,000",3:47
167,Crime,crime,53,"23,797",449,$6.99 ,84%,"6,550,000",3:12
306,Batman,batman,10,"3,927",393,$14.99 ,84%,"4,970,000",9:48
294,Gun Customization,gun_customization,13,"4,938",380,$4.99 ,74%,"8,810,000",3:04
251,Class-Based,class_based,23,"8,125",353,$0.49 ,81%,"18,980,000",2:51
193,e-sports,e_sports,42,"14,610",348,$7.99 ,84%,"4,070,000",3:10
253,Mod,mod,23,"7,743",337,$0 ,86%,"7,010,000",1:15
240,Trading,trading,27,"9,021",334,$4.99 ,76%,"1,810,000",5:29
68,Crafting,crafting,216,"71,747",332,$11.61 ,75%,"4,970,000",5:29
317,Bowling,bowling,6,"1,917",320,$9.99 ,86%,"1,810,000",3:17
183,MOBA,moba,45,"14,234",316,$0 ,70.50%,"5,200,000",0:58
248,Lore-Rich,lore_rich,24,"7,511",313,$14.99 ,88.50%,"1,810,000",3:42
254,Heist,heist,23,"7,187",312,$14.99 ,79%,"6,780,000",7:43
216,Dragons,dragons,32,"9,935",310,$4.99 ,77.50%,"4,520,000",2:07
29,Free to Play,free_to_play,614,"190,397",310,$0 ,76%,"2,710,000",0:41
100,Post-apocalyptic,post_apocalyptic,138,"41,749",303,$9.99 ,79%,"6,330,000",4:01
214,Dinosaurs,dinosaurs,33,"9,802",297,$9.49 ,77%,"2,710,000",2:29
15,Open World,open_world,825,"244,239",296,$9.99 ,78%,"5,420,000",4:05
32,Survival,survival,570,"166,403",292,$9.99 ,76%,"4,970,000",3:53
85,Moddable,moddable,162,"47,173",291,$14.99 ,90%,"8,140,000",5:12
31,FPS,fps,595,"170,985",287,$6.99 ,79%,"5,880,000",2:20
217,Assassin,assassin,32,"9,131",285,$14.99 ,83.50%,"8,590,000",4:16
55,Zombies,zombies,280,"78,302",280,$6.99 ,79%,"5,420,000",3:10
89,Third-Person Shooter,third_person_shooter,158,"43,663",276,$9.99 ,77%,"8,140,000",3:20
81,PvP,pvp,172,"46,524",270,$0 ,70%,"8,140,000",2:21
303,On-Rails Shooter,on_rails_shooter,10,"2,693",269,$5.99 ,82%,"900,000",3:02
63,Building,building,232,"61,657",266,$14.99 ,77%,"2,940,000",5:34
54,Online Co-Op,online_co_op,294,"76,958",262,$9.99 ,83%,"8,590,000",4:00
35,Sandbox,sandbox,495,"126,572",256,$11.99 ,80%,"5,420,000",5:14
79,Stealth,stealth,189,"47,850",253,$12.99 ,83%,"5,420,000",4:03
21,First-Person,first_person,712,"169,156",238,$9.99 ,81%,"5,420,000",2:47
138,Parkour,parkour,82,"18,910",231,$9.99 ,84%,"6,780,000",4:32
312,Dynamic Narration,dynamic_narration,7,"1,569",224,$14.99 ,87.50%,"9,490,000",3:45
9,Multiplayer,multiplayer,1423,"318,216",224,$9.99 ,80%,"4,750,000",3:17
